Project Section,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT
Engineering,Final Approval,White,8/16/24,1,8/17/24,0,0.00%
Engineering,Engineering - fabrication drawings for two frames,Duane,7/15/24,2,7/17/24,0,100.00%
Engineering,fabrication drawings approval,White,8/16/24,1,8/17/24,0,0.00%
Fabrication,Fabricate two frames,Duane,8/12/24,30,9/3/24,2,0.00%
Fabrication,"14"" stainless steel pipe with insulation",Duane,8/19/24,5,8/23/24,0,0.00%
Prep,Take off existing stack from 1 and 2 and Tee in 3,Duane,9/23/24,2,9/24/24,0,0.00%
Prep,logistics - equipment delivery,Duane,9/3/24,2,9/4/24,0,0.00%
Prep,Sprinkler pipe reroute,White,8/12/24,5,8/16/24,0,0.00%
Rigging,release shipment of afterburners,Duane,9/18/24,3,9/20/24,0,0.00%
Rigging,load afterburners onto flatbed provided by crane co.,Duane,9/20/24,1,9/21/24,0,0.00%
Rigging,lift and position afterburners,Subcontractor,9/20/24,1,9/21/24,0,0.00%
Install,Plumbing - Gas and Utilities,Subcontractor,9/22/24,2,9/24/24,0,0.00%
Install,Frame install #1,Duane,9/4/24,7,9/11/24,0,0.00%
Install,Frame install #2,Duane,9/11/24,7,9/18/24,0,0.00%
Install,Start Up,Duane,9/25/24,2,9/28/24,0,0.00%
Prep,Roof penetrations ,Subcontractor,9/3/24,1,9/4/24,0,0.00%
