Project Section,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT
Engineering,Final Approval,White,7/15/24,1,7/15/24,0,0.00%
Engineering,Engineering - fabrication drawings for two frames,Duane,7/15/24,2,7/17/24,0,0.00%
Engineering,fabrication drawings approval,White,7/17/24,1,7/18/24,0,0.00%
Fabrication/Install,Fabricate two frames,Duane,8/12/24,5,8/16/24,0,0.00%
Fabrication/Install,"14"" stainless steel pipe with insulation",Duane,8/19/24,5,8/23/24,0,0.00%
mobilization,logistics,Duane,8/24/24,2,8/25/24,0,0.00%
Building Mod.,Sprinkler pipe reroute,White,8/12/24,5,8/16/24,0,0.00%
Rigging,release shipment of afterburners,Duane,8/12/24,3,8/15/24,0,0.00%
Rigging,unload afterburners and store in chocolate factory,Duane,8/15/24,1,8/16/24,0,0.00%
Rigging,accept Rigging NYC estimate,White,7/15/24,1,7/15/24,0,0.00%
Rigging,Site visit with Crane operator,Duane,8/16/24,1,8/17/24,0,0.00%
Rigging,load afterburners onto flatbed provided by crane co.,Duane,8/26/24,1,8/27/24,0,0.00%
Rigging,lift and position afterburners,RiggingNYC,8/26/24,1,8/27/24,0,0.00%
Fabrication/Install,Plumbing,Subcontractor,8/27/24,2,8/29/24,0,0.00%
Fabrication/Install,Gas and utilities ,Subcontractor,8/27/24,2,8/29/24,0,0.00%
Building Mod.,Roof penetrations ,Subcontractor,8/19/24,1,8/20/24,0,0.00%
