Project Section,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT
Afterburner - Engineering,Final Approval,White,8/30/24,1,8/30/24,0,0.00%
Afterburner - Engineering,fabrication drawings approval,White,8/30/24,1,8/31/24,0,100.00%
Afterburner - Fabrication,Fabricate two frames,Duane,10/11/24,35,11/15/24,2,0.00%
Afterburner - Fabrication,"14"" stainless steel pipe with insulation",Duane,11/18/24,5,11/23/24,0,0.00%
Afterburner - Prep,Take off existing stack from 1 and 2 and Tee in 3,Duane,10/21/24,2,10/23/24,0,0.00%
Afterburner - Prep,logistics - equipment delivery,Duane,11/15/24,2,11/17/24,0,0.00%
Afterburner - Prep,Sprinkler pipe reroute,White,10/28/24,5,11/2/24,0,0.00%
Afterburner - Prep,Roof penetrations ,Subcontractor,10/28/24,1,10/29/24,0,0.00%
Afterburner - Rigging,release shipment of afterburners to staging area,Duane,11/29/24,3,12/2/24,0,0.00%
Afterburner - Rigging,lift and position afterburners,Subcontractor,12/2/24,1,12/3/24,0,0.00%
Afterburner - Install,Plumbing - Gas and Utilities,Subcontractor,12/3/24,2,12/5/24,0,0.00%
Afterburner - Install,Frame install #1,Duane,11/15/24,7,11/22/24,0,0.00%
Afterburner - Install,Frame install #2,Duane,11/22/24,7,11/29/24,0,0.00%
Afterburner - Install,Start Up,Duane,12/5/24,2,12/7/24,0,0.00%
Flavor Batch System,Engineering,Duane,8/19/24,5,9/6/24,0,100.00%
Flavor Batch System,Panel Fabrication,Duane,10/21/24,3,10/24/24,0,0.00%
Flavor Batch System,Field Wiring & Terminations,Duane,10/17/24,5,10/22/24,0,0.00%
Flavor Batch System,Programming,Duane,9/16/24,5,9/20/24,0,100.00%
Flavor Batch System,Start up,Duane,10/24/24,5,10/29/24,0,0.00%
